證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3494","誠研","227722","1575074","6.96","6.96","6.90","6.94","-0.0200","83"
"3501","維熹","3131230","236894236","74.60","77.50","73.90","75.50","2.5000","2546"
"3504","揚明光","378372","22141965","58.40","59.60","57.90","58.50","0.5000","349"
"3515","華擎","776493","175168014","225.50","228.00","224.00","226.50","2.5000","794"
"3518","柏騰","97191","2874306","29.30","29.75","29.30","29.60","0.2000","86"
"3528","安馳","22690","1117372","49.10","49.40","49.10","49.30","0.0500","32"
"3530","晶相光","398807","42199621","104.00","107.50","104.00","107.00","3.5000","382"
"3532","台勝科","721829","126105785","176.50","177.00","173.50","173.50","-1.5000","2011"
"3533","嘉澤","536378","860192440","1615.00","1625.00","1580.00","1600.00","5.0000","909"
"3535","晶彩科","12032557","383545834","30.85","33.00","30.20","32.05","1.6000","6775"
"3543","州巧","118360","2721867","23.45","23.45","22.90","23.00","-0.0500","93"
"3545","敦泰","2654227","239828876","89.40","91.20","89.20","91.00","2.5000","2683"
"3550","聯穎","120631","1833107","15.45","15.45","15.10","15.15","-0.1500","123"
"3557","嘉威","482281","34933751","72.00","72.80","72.00","72.50","0.0000","424"
"3563","牧德","2019591","829978817","397.50","427.00","395.50","418.00","25.0000","2455"
"3576","聯合再生","3641736","42434335","11.70","11.80","11.55","11.65","0.0000","1795"
"3583","辛耘","2212066","773570795","350.00","353.00","346.00","349.50","4.5000","2433"
"3588","通嘉","810784","69610945","84.60","87.40","84.20","86.00","1.9000","680"
"3591","艾笛森","1366024","38066569","28.25","28.35","27.50","28.20","0.2000","814"
"3592","瑞鼎","433276","184841633","427.50","429.00","423.00","426.50","1.0000","718"
"3593","力銘","658897","8370292","11.90","13.05","11.90","13.05","1.1500","379"
"3596","智易","627381","101382182","161.00","162.50","161.00","162.00","2.0000","760"
"3605","宏致","1003606","48159622","48.80","49.10","47.55","47.70","-0.9500","867"
"3607","谷崧","299384","5273684","17.55","17.75","17.50","17.60","0.0000","249"
"3617","碩天","601229","164129676","274.00","275.00","270.50","272.50","3.0000","1799"
"3622","洋華","10406106","739049626","70.60","73.00","69.10","69.60","-0.4000","9066"
"3645","達邁","271614","11309249","42.00","42.00","41.50","41.70","0.0500","232"
"3652","精聯","462061","15547512","33.55","34.20","33.10","33.70","0.5000","380"
"3653","健策","685545","717716840","1035.00","1060.00","1035.00","1050.00","20.0000","993"
"3661","世芯-KY","4123983","11221714950","2800.00","2830.00","2660.00","2670.00","-70.0000","20889"
"3665","貿聯-KY","9649325","2911710725","293.00","311.00","291.00","304.00","21.0000","9495"
"3669","圓展","114338","6023105","53.00","53.00","52.30","52.50","0.1000","114"
"3673","TPK-KY","867937","31925609","36.60","37.15","36.50","36.70","0.4000","611"
"3679","新至陞","603980","85567834","140.50","143.00","140.50","142.00","2.5000","523"
"3686","達能","396205","7432892","18.80","19.00","18.60","18.65","-0.1500","352"
"3694","海華","854541","43334356","51.30","51.50","50.50","50.50","-0.5000","826"
"3701","大眾控","968909","49826031","52.00","52.00","51.10","51.40","-0.4000","596"
"3702","大聯大","2701907","232761110","85.80","86.60","85.80","86.10","0.5000","1893"
"3702A","大聯大甲特","82231","4027228","49.00","49.00","48.95","49.00","0.0500","40"
"3703","欣陸","1934954","69101921","35.95","36.00","35.60","35.65","-0.4000","1508"
"3704","合勤控","791297","31459700","39.95","40.10","39.50","39.80","0.2000","563"
"3705","永信","307435","16579301","54.00","54.20","53.60","53.90","0.3000","253"
"3706","神達","7264415","331013473","45.75","45.95","45.20","45.45","0.3000","4181"
"3708","上緯投控","1957648","282074947","146.00","146.50","143.00","143.00","-2.0000","1671"
"3711","日月光投控","10685571","1768277551","166.00","167.50","164.00","164.00","1.5000","7082"
"3712","永崴投控","5530241","273267667","48.10","50.80","47.70","49.70","1.6000","3637"
"3714","富采","1737082","75750061","43.60","44.10","43.30","43.55","0.1500","1196"
"3715","定穎投控","3055792","188030297","61.60","62.00","61.10","61.80","0.6000","2140"
"4104","佳醫","95989","8621886","90.00","90.00","89.70","89.70","-0.3000","287"
"4106","雃博","81761","2269334","27.70","27.80","27.70","27.70","-0.3000","262"
"4108","懷特","96421","1906490","19.80","19.85","19.70","19.85","0.0000","256"
"4119","旭富","240901","21732212","90.60","91.00","90.00","90.00","-0.4000","329"
"4133","亞諾法","156540","5050378","32.55","32.55","32.05","32.05","-0.2500","184"
"4137","麗豐-KY","189263","31453720","167.00","167.50","165.00","166.00","-1.0000","204"
"4142","國光生","1007186","26944419","27.05","27.15","26.60","26.65","-0.4000","698"
"4148","全宇生技-KY","16180","803622","49.80","49.80","49.50","49.65","-0.3500","56"
"4155","訊映","294955","7585213","25.80","26.05","25.55","25.65","-0.0500","539"
"4164","承業醫","478870","25213990","52.80","53.10","52.10","52.80","0.1000","623"
"4190","佐登-KY","121949","5415453","44.80","44.80","44.00","44.40","-0.2000","195"
"4306","炎洲","4466496","92790235","20.95","21.00","20.55","20.70","0.0000","2191"
"4414","如興","1541673","4696009","3.06","3.08","3.02","3.06","0.0100","163"
"4426","利勤","231868","4016449","17.10","17.50","17.00","17.30","0.2000","156"
"4438","廣越","35784","4079239","113.00","114.50","113.00","114.00","1.5000","51"
"4439","冠星-KY","58123","6480160","113.00","113.50","110.50","111.00","-0.5000","82"
"4440","宜新實業","118958","3055445","26.00","26.00","25.50","25.50","-0.5000","100"
"4526","東台","1255739","28319936","22.95","23.10","22.40","22.45","-0.3500","891"
"4532","瑞智","1734525","48872328","28.40","28.45","28.05","28.15","-0.1000","995"
"4536","拓凱","261605","52882178","205.00","205.00","200.50","201.50","-3.5000","745"
"4540","全球傳動","703093","22764843","33.35","33.55","31.80","32.25","-1.0000","644"
"4545","銘鈺","2803819","133735403","48.45","49.30","46.00","49.00","0.5500","1905"
"4551","智伸科","177754","20291445","114.50","115.00","113.50","114.50","1.5000","137"
"4552","力達-KY","215196","6071209","28.15","28.45","28.10","28.20","0.0500","138"
"4555","氣立","30841","1814957","61.00","61.00","57.60","58.40","-2.5000","64"
"4557","永新-KY","85833","10054070","117.50","118.00","116.50","117.00","-0.5000","89"
"4560","強信-KY","115999","4299162","37.20","37.20","36.90","37.20","0.0000","46"
"4562","穎漢","15798100","657271221","40.10","42.65","40.10","42.65","3.8500","9950"
"4564","元翎","502890","11748554","23.30","23.50","23.20","23.45","0.2500","328"
"4566","時碩工業","14812879","1233738004","84.20","86.80","81.50","82.20","-0.8000","9410"
"4569","六方科-KY","21344","2160964","101.50","102.50","100.50","101.00","-0.5000","33"
"4571","鈞興-KY","1035786","151629749","146.50","149.00","143.50","148.00","1.5000","895"
"4572","駐龍","426855","63046194","148.50","149.50","146.50","148.00","-0.5000","309"
"4576","大銀微系統","210828","16049296","76.80","77.10","75.40","76.40","0.2000","570"
"4581","光隆精密-KY","31000","1942100","62.80","63.10","62.40","62.50","-0.2000","30"
"4583","台灣精銳","71214","18900737","270.00","270.00","264.00","264.00","-2.0000","1283"
"4588","玖鼎電力","2165963","245967438","108.00","118.00","104.00","118.00","10.5000","1955"
"4720","德淵","4292607","91579828","20.95","21.75","20.85","21.05","0.4000","2376"
"4722","國精化","232338","10081990","43.50","43.65","43.15","43.25","-0.2000","203"
"4736","泰博","203446","33553087","165.00","165.50","164.00","165.00","1.5000","227"
"4737","華廣","69604","4805787","68.70","69.70","68.70","69.10","0.5000","61"
"4739","康普","197764","13196365","67.20","67.80","66.30","67.00","0.1000","426"
"4746","台耀","826025","80482894","98.00","98.30","97.00","97.10","-0.6000","879"
"4755","三福化","148701","20790837","138.00","140.50","138.00","140.00","2.0000","194"
"4763","材料-KY","1876971","1569160708","824.00","848.00","818.00","838.00","26.0000","3770"
"4764","雙鍵","33095","1390349","42.05","42.25","41.95","42.15","-0.2500","28"
"4766","南寶","263532","94745257","365.50","365.50","357.00","358.00","-2.0000","484"
"4770","上品","426956","165850806","388.00","392.00","385.00","390.00","4.0000","421"
"4771","望隼","89940","26339152","297.00","297.00","291.50","292.50","-0.5000","218"
"4807","日成-KY","4004","68118","17.00","17.05","17.00","17.05","0.0000","7"
"4904","遠傳","2982102","254876073","86.20","86.20","85.10","85.10","-0.8000","3227"
"4906","正文","11472015","441839377","39.20","39.20","38.05","38.05","-0.7500","6656"
"4912","聯德控股-KY","348091","42066305","119.50","123.00","119.00","120.50","3.0000","267"
"4915","致伸","6534220","725529423","110.00","114.50","109.00","110.50","0.5000","5293"
"4916","事欣科","408401","12074485","29.70","29.70","29.45","29.60","-0.1000","290"
"4919","新唐","1817263","226619031","126.00","126.00","124.00","124.50","-0.5000","1664"
"4927","泰鼎-KY","903315","34952781","39.05","39.15","38.50","38.55","-0.4000","629"
"4930","燦星網","78327","2608720","33.05","33.45","33.05","33.30","0.2500","105"
"4934","太極","746868","16413765","22.40","22.40","21.85","21.95","-0.4500","471"
"4935","茂林-KY","286183","18129176","63.10","64.00","62.80","63.30","0.7000","295"
"4938","和碩","16187291","1875974845","114.00","118.00","113.00","116.50","4.0000","10126"
"4942","嘉彰","100225","4652696","46.60","46.60","46.30","46.50","-0.1000","88"
"4943","康控-KY","14371","296500","19.95","20.90","19.95","20.00","0.0000","18"
"4949","有成精密","163246","4436392","26.80","27.45","26.80","27.30","0.5000","182"
"4952","凌通","5923335","418914137","72.80","73.50","68.80","68.90","-3.3000","5315"
"4956","光鋐","1835155","42106500","23.60","23.65","22.45","22.65","-0.2500","1271"
"4958","臻鼎-KY","8577435","1030450698","121.00","123.00","118.00","119.00","0.0000","5966"
"4960","誠美材","4603016","64251735","14.20","14.20","13.85","13.90","-0.2500","1882"
